,Full Title,ISSN,Product ID,Change History
976,Gynecologic Oncology Reports,2352-5789,14068,Formerly known as Gynecologic Oncology Case Reports
977,Gynécologie Obstétrique Fertilité & Sénologie,2468-7189,09104,Formerly known as Gynécologie Obstétrique & Fertilité
978,Habitat International,0197-3975,00479,
979,Hand Clinics,0749-0712,13063,
980,Hand Surgery and Rehabilitation ,2468-1229,09088,Formerly known as Chirurgie de la Main
981,HardwareX,2468-0672,18318,
982,Harmful Algae,1568-9883,08550,
983,Health & Place,1353-8292,03092,
984,Health Policy,0168-8510,08022,Formerly known as Health Policy and Education
985,Health Policy and Technology,2211-8837,12981,
986,Health Professions Education,2452-3011,18224,
987,Healthcare,2213-0764,14138,
988,Hearing Research,0378-5955,05043,
989,Heart Failure Clinics,1551-7136,13369,
990,Heart & Lung,0147-9563,13169,
991,"Heart, Lung and Circulation",1443-9506,05496,Formerly known as The Asia Pacific Heart Journal
992,Heart Rhythm,1547-5271,13360,
993,HeartRhythm Case Reports,2214-0271,14151,
994,Heliyon,2405-8440,18230,
995,Hellenic Journal of Cardiology,1109-9666,18356,
996,Hematology/Oncology Clinics of North America,0889-8588,13299,
997,Hematology/Oncology and Stem Cell Therapy,1658-3876,10160,
998,"Hematology, Transfusion and Cell Therapy",2531-1379,15904,Formerly known as Revista Brasileira de Hematologia e Hemoterapia
999,Hepatobiliary & Pancreatic Diseases International,1499-3872,08757,
1000,High Energy Density Physics,1574-1818,05507,
1001,Hipertensión y Riesgo Vascular,1889-1837,15727,Formerly known as Hipertensión
1002,Historia Mathematica,0315-0860,12047,
1003,Hormones and Behavior,0018-506X,12046,
1004,Horticultural Plant Journal,2468-0141,18316,
1005,HPB,1365-182X,18284,
1006,Human Immunology,0198-8859,07660,
1007,Human Microbiome Journal,2452-2317,18354,
1008,Human Movement Science,0167-9457,05274,
1009,Human Pathology,0046-8177,13064,
1010,Human Pathology: Case Reports,2214-3300,14155,
1011,Human Resource Management Review,1053-4822,07410,
1012,Hydrometallurgy,0304-386X,05336,
1013,HydroResearch,2589-7578,18440,
1014,IATSS Research,0386-1112,12899,
1015,IBRO Reports,2451-8301,18263,
1016,Icarus,0019-1035,12049,
1017,ICT Express,2405-9595,18247,
1018,IDCases,2214-2509,18023,
1019,IFAC Journal of Systems and Control,2468-6018,18378,
1020,IFAC-PapersOnLine,2405-8963,18189,Formerly known as IFAC Proceedings Volumes
1021,IHJ Cardiovascular Case Reports (CVCR),2468-600X,18372,
1022,IIMB Management Review,0970-3896,12768,
1023,IJC Heart & Vasculature,2352-9067,08168,Formerly known as IJC Heart & Vessels
1024,Image and Vision Computing,0262-8856,05278,
1025,Imagerie de la Femme,1776-9817,15773,
1026,Immunity,1074-7613,07591,
1027,Immuno-Oncology Technology,2590-0188,30017,
1028,Immunobiology,0171-2985,10026,Formerly known as Zeitschrift für Immunitätsforschung: Immunobiology
1029,Immunology and Allergy Clinics of North America,0889-8561,13300,
1030,Immunology Letters,0165-2478,05044,
1031,In Analysis,2542-3606,16443,
1032,Indagationes Mathematicae,0019-3577,05280,Incorporating Indagationes Mathematicae (Proceedings)
1033,Indian Heart Journal,0019-4832,18007,
1034,Indian Journal of Tuberculosis,0019-5707,18168,
1035,Indian Pacing and Electrophysiology Journal,0972-6292,18240,
1036,Industrial Crops and Products,0926-6690,05108,
1037,Industrial Marketing Management,0019-8501,07663,
1038,Infant Behavior and Development,0163-6383,07454,
1039,"Infection, Disease & Health",2468-0451,18324,Formerly known as Healthcare Infection
1040,"Infection, Genetics and Evolution",1567-1348,05573,
1041,Infection Prevention in Practice,2590-0889,30043,
1042,Infectious Disease Clinics of North America,0891-5520,13224,
1043,Infectious Disease Modelling,2468-0427,18312,
1044,Informatics in Medicine Unlocked,2352-9148,18129,
1045,Information and Computation,0890-5401,12048,Formerly known as Information and Control
1046,Information Economics and Policy,0167-6245,05375,
1047,Information Fusion,1566-2535,05561,
1048,Information & Management,0378-7206,05374,
1049,Information and Organization,1471-7727,00964,"Formerly known as Accounting, Management and Information Technologies"
1050,Information Processing in Agriculture,2214-3173,17020,
1051,Information Processing Letters,0020-0190,05282,
1052,Information Processing & Management,0306-4573,00244,Formerly known as Information Storage and Retrieval
1053,Information Sciences,0020-0255,07669,Incorporating Information Sciences - Applications
1054,Information and Software Technology,0950-5849,05281,Formerly known as Data Processing
1055,Information Systems,0306-4379,00236,
1056,Infrared Physics & Technology,1350-4495,05198,Formerly known as Infrared Physics
1057,Injury,0020-1383,03040,
1058,Innovative Food Science & Emerging Technologies,1466-8564,01059,
1059,Inorganic Chemistry Communications,1387-7003,06052,
1060,Inorganica Chimica Acta,0020-1693,06011,Incorporating Inorganica Chimica Acta Reviews
1061,Insect Biochemistry and Molecular Biology,0965-1748,00390,Formerly known as Insect Biochemistry
1062,Insurance: Mathematics and Economics,0167-6687,05376,
1063,Integration,0167-9260,05286,
1064,Integrative Medicine Research,2213-4220,10147,
1065,Intelligence,0160-2896,07455,
1066,Intensive and Critical Care Nursing,0964-3397,12744,Formerly known as Intensive Care Nursing
1067,Interdisciplinary Neurosurgery,2214-7519,18053,
1068,Intermetallics,0966-9795,02041,
1069,International Biodeterioration & Biodegradation,0964-8305,02029,Formerly known as International Biodeterioration
1070,International Business Review,0969-5931,00133,Formerly known as Scandinavian International Business Review
1071,International Communications in Heat and Mass Transfer,0735-1933,00208,Formerly known as Letters in Heat and Mass Transfer
1072,International Dairy Journal,0958-6946,02030,
1073,International Economics,2110-7017,17008,
1074,International Emergency Nursing,1755-599X,12738,Formerly known as Accident & Emergency Nursing
1075,International Immunopharmacology,1567-5769,05576,Incorporating Immunopharmacology and International Journal of Immunopharmacology
1076,International Journal of Accounting Information Systems,1467-0895,07464,
1077,International Journal of Adhesion and Adhesives,0143-7496,03042,
1078,International Journal of Advanced Nuclear Reactor Design and Technology,2468-6050,18369,
1079,International Journal of Africa Nursing Sciences,2214-1391,08831,
1080,International Journal of Antimicrobial Agents,0924-8579,05047,
1081,International Journal of Applied Earth Observation and Geoinformation,0303-2434,05539,
1082,International Journal of Approximate Reasoning,0888-613X,07662,
1083,The International Journal of Biochemistry & Cell Biology,1357-2725,00395,Formerly known as International Journal of Biochemistry
1084,International Journal of Biological Macromolecules,0141-8130,05048,
1085,International Journal of Cardiology,0167-5273,08025,
1086,International Journal of Cardiology Hypertension,2590-0862,30056,
1087,International Journal of Child-Computer Interaction,2212-8689,18006,
1088,International Journal of Clinical and Health Psychology,1697-2600,15827,
1089,International Journal of Coal Geology,0166-5162,05337,
1090,International Journal of Critical Infrastructure Protection,1874-5482,08628,
1091,International Journal of Disaster Risk Reduction,2212-4209,08802,
1092,International Journal of Drug Policy,0955-3959,05519,
1093,International Journal of Educational Development,0738-0593,00719,
1094,International Journal of Educational Research,0883-0355,00968,Formerly known as Evaluation in Education
1095,International Journal of Electrical Power & Energy Systems,0142-0615,03044,
1096,International Journal of Engineering Science,0020-7225,00278,
1097,International Journal of Fatigue,0142-1123,03045,
1098,International Journal of Food Microbiology,0168-1605,05109,
1099,International Journal of Forecasting,0169-2070,05378,
1100,International Journal of Gastronomy and Food Science,1878-450X,10098,
1101,International Journal of Geoheritage and Parks,2577-4441,30019,
1102,International Journal of Greenhouse Gas Control,1750-5836,04089,
1103,International Journal of Heat and Fluid Flow,0142-727X,07657,
1104,International Journal of Heat and Mass Transfer,0017-9310,00210,
1105,International Journal of Hospitality Management,0278-4319,00659,
1106,International Journal of Human-Computer Studies,1071-5819,12608,Formerly known as International Journal of Man-Machine Studies; Incorporating Knowledge Acquisition
1107,International Journal of Hydrogen Energy,0360-3199,00485,
1108,International Journal of Hygiene and Environmental Health,1438-4639,10024,Formerly known as Zentralblatt für Hygiene und Umweltmedizin
1109,International Journal of Impact Engineering,0734-743X,00700,
1110,International Journal of Industrial Ergonomics,0169-8141,05284,
1111,International Journal of Industrial Organization,0167-7187,05379,
1112,International Journal of Infectious Diseases,1201-9712,04292,
1113,International Journal of Information Management,0268-4012,03046,Formerly known as Social Science Information Studies
1114,International Journal of Innovation Studies,2096-2487,18405,
1115,International Journal of Intercultural Relations,0147-1767,00535,
1116,"International Journal of Law, Crime and Justice",1756-0616,12632,Formerly known as International Journal of the Sociology of Law
1117,International Journal of Law and Psychiatry,0160-2527,00295,
1118,International Journal of Lightweight Materials and Manufacture,2588-8404,18406,
1119,International Journal of Machine Tools and Manufacture,0890-6955,00264,Formerly known as International Journal of Machine Tool Design and Research
1120,The International Journal of Management Education,1472-8117,17001,
1121,International Journal of Mass Spectrometry,1387-3806,05155,Formerly known as International Journal of Mass Spectrometry and Ion Processes
1122,International Journal of Mechanical Sciences,0020-7403,00206,
1123,International Journal of Medical Informatics,1386-5056,08024,Formerly known as International Journal of Bio-Medical Computing
1124,International Journal of Medical Microbiology,1438-4221,10025,Formerly known as Zentralblatt für Bakteriologie; Incorporating International Journal of Medical Microbiology Supplements
1125,International Journal of Mining Science and Technology,2095-2686,08603,Formerly known as Mining Science and Technology (China)
1126,International Journal of Multiphase Flow,0301-9322,00234,
1127,International Journal of Naval Architecture and Ocean Engineering,2092-6782,18298,
1128,International Journal of Non-Linear Mechanics,0020-7462,00299,
1129,International Journal of Nursing Sciences,2352-0132,18057,
1130,International Journal of Nursing Studies,0020-7489,00266,
1131,International Journal of Nursing Studies Advances,2666-142X,30234,
1132,International Journal of Obstetric Anesthesia,0959-289X,12733,
1133,International Journal of Oral and Maxillofacial Surgery,0901-5027,12901,Formerly known as International Journal of Oral Surgery
1134,International Journal of Orthopaedic and Trauma Nursing,1878-1241,12748,Formerly known as Journal of Orthopaedic Nursing
1135,International Journal of Osteopathic Medicine,1746-0689,04081,Formerly known as Journal of Osteopathic Medicine
1136,International Journal of Paleopathology,1879-9817,12931,
1137,International Journal for Parasitology,0020-7519,00353,
1138,International Journal for Parasitology: Drugs and Drug Resistance,2211-3207,12969,
1139,International Journal for Parasitology: Parasites and Wildlife,2213-2244,10131,
1140,International Journal of Pediatric Otorhinolaryngology,0165-5876,08028,
1141,International Journal of Pediatric Otorhinolaryngology Case Reports,2588-9109,04243,Formerly known as International Journal of Pediatric Otorhinolaryngology Extra
1142,International Journal of Pediatrics and Adolescent Medicine,2352-6467,18110,
1143,International Journal of Pharmaceutics,0378-5173,05049,
1144,International Journal of Pharmaceutics: X,2590-1567,18461,
1145,International Journal of Plasticity,0749-6419,00762,
1146,International Journal of Pressure Vessels and Piping,0308-0161,02031,
1147,International Journal of Production Economics,0925-5273,05380,Formerly known as Engineering Costs and Production Economics
1148,International Journal of Project Management,0263-7863,03047,
1149,International Journal of Psychophysiology,0167-8760,05050,
1150,International Journal of Radiation Oncology*Biology*Physics,0360-3016,07551,
1151,International Journal of Refractory Metals and Hard Materials,0263-4368,02128,
1152,International Journal of Refrigeration,0140-7007,03048,
1153,International Journal of Research in Marketing,0167-8116,05381,
1154,International Journal of Rock Mechanics and Mining Sciences,1365-1609,00256,Formerly known as International Journal of Rock Mechanics and Mining Sciences & Geomechanics Abstracts
1155,International Journal of Sediment Research,1001-6279,08648,
1156,International Journal of Solids and Structures,0020-7683,00297,
1157,International Journal of Surgery,1743-9191,05620,Formerly known as The Journal of Surgery
1158,International Journal of Surgery Case Reports,2210-2612,12885,
1159,International Journal of Surgery Open,2405-8572,18209,
1160,International Journal of Surgery Protocols,2468-3574,18885,
1161,International Journal of Thermal Sciences,1290-0729,09063,Formerly known as Revue Générale de Thermique
1162,International Journal of Thermofluids,2666-2027,30251,
1163,International Journal of Transportation Science and Technology,2046-0430,18363,
1164,International Journal of Women's Dermatology,2352-6475,18764,
1165,International Orthodontics,1761-7227,15544,
1166,International Review of Economics Education,1477-3880,10172,
1167,International Review of Economics & Finance,1059-0560,07415,
1168,International Review of Financial Analysis,1057-5219,07416,
1169,International Review of Law and Economics,0144-8188,07673,
1170,International Soil and Water Conservation Research,2095-6339,18187,
1171,The Internet and Higher Education,1096-7516,07447,
1172,Internet Interventions,2214-7829,18051,
1173,Internet of Things,2542-6605,18410,
1174,Interventional Cardiology Clinics,2211-7458,14109,
1175,IRBM,1959-0318,09057,Formerly known as ITBM-RBM
1176,IRBM News,1959-7568,09056,Formerly known as ITBM-RBM News
1177,ISA Transactions,0019-0578,05382,
1178,iScience,2589-0042,18921,
1179,ISPRS Journal of Photogrammetry and Remote Sensing,0924-2716,05340,Formerly known as Photogrammetria
1180,JAAD Case Reports,2352-5126,18752,
1181,JACC: Basic to Translational Science,2452-302X,18882,
1182,JACC: CardioOncology,2666-0873,30185,
1183,JACC: Cardiovascular Imaging,1936-878X,07811,
1184,JACC: Cardiovascular Interventions,1936-8798,07812,
1185,JACC: Case Reports,2666-0849,30183,
1186,JACC: Clinical Electrophysiology,2405-500X,18802,
1187,JACC: Heart Failure,2213-1779,14130,
1188,Japan and the World Economy,0922-1425,05383,
1189,Japanese Dental Science Review,1882-7616,12765,
1190,JHEP Reports,2589-5559,18452,
1191,JMV-Journal de Médecine Vasculaire,2542-4513,15563,Formerly known as Journal des Maladies Vasculaires
1192,Joint Bone Spine,1297-319X,09089,
1193,The Joint Commission Journal on Quality and Patient Safety,1553-7250,18893,Formerly Known as The Joint Commission Journal on Quality and Safety
1194,Jornal de Pediatria,0021-7557,15988,
1195,Jornal de Pediatria (Versão em Português),2255-5536,15989,
1196,Joule,2542-4351,18907,
1197,The Journal of Academic Librarianship,0099-1333,07418,
1198,Journal of the Academy of Nutrition and Dietetics,2212-2672,13340,Formerly known as Journal of the American Dietetic Association
1199,Journal of Accounting and Economics,0165-4101,05384,
1200,Journal of Accounting Education,0748-5751,00840,
1201,Journal of Accounting and Public Policy,0278-4254,07675,
1202,Journal of Acupuncture and Meridian Studies,2005-2901,08673,
1203,Journal of Adolescence,0140-1971,12628,
1204,Journal of Adolescent Health,1054-139X,07678,Formerly known as Journal of Adolescent Health Care
1205,Journal of Advanced Research,2090-1232,08708,
1206,Journal of Aerosol Science,0021-8502,00337,
1207,Journal of Affective Disorders,0165-0327,05051,
1208,Journal of African Earth Sciences,1464-343X,00691,
1209,Journal of Aging Studies,0890-4065,07419,
1210,Journal of Agriculture and Food Research,2666-1543,30233,
1211,Journal of Air Transport Management,0969-6997,03050,
1212,Journal of Algebra,0021-8693,12051,
1213,Journal of Allergy and Clinical Immunology,0091-6749,13302,Formerly known as Journal of Allergy
1214,The Journal of Allergy and Clinical Immunology: In Practice,2213-2198,14131,
1215,Journal of Alloys and Compounds,0925-8388,06012,Formerly known as Journal of the Less Common Metals
1216,Journal of the American Academy of Child & Adolescent Psychiatry,0890-8567,13450,Formerly known as Journal of the American Academy of Child Psychiatry
1217,Journal of the American Academy of Dermatology,0190-9622,13309,
1218,Journal of American Association for Pediatric Ophthalmology and Strabismus,1091-8531,13083,
1219,Journal of the American College of Cardiology,0735-1097,07681,
1220,Journal of the American College of Radiology,1546-1440,13357,
1221,Journal of the American College of Surgeons,1072-7515,07682,
1222,The Journal of the American Dental Association,0002-8177,18763,Formerly known as The Journal of the American Dental Association and The Dental Cosmos
1223,Journal of the American Medical Directors Association,1525-8610,13380,
1224,Journal of the American Pharmacists Association,1544-3191,18865,Formerly known as Journal of the American Pharmaceutical Association (1996)
1225,Journal of the American Society of Cytopathology,2213-2945,14132,
1226,Journal of the American Society of Echocardiography,0894-7317,13242,
1227,Journal of Analytical and Applied Pyrolysis,0165-2370,05157,
1228,Journal of Anesthesia History,2352-4529,18791,Formerly known as Bulletin of Anesthesia History
1229,Journal of Anthropological Archaeology,0278-4165,12050,
1230,Journal of Anxiety Disorders,0887-6185,00801,
1231,Journal of Applied Developmental Psychology,0193-3973,07456,
1232,Journal of Applied Geophysics,0926-9851,05341,Formerly known as Geoexploration
1233,Journal of Applied Poultry Research,1056-6171,30283,
1234,Journal of Applied Research on Medicinal and Aromatic Plants,2214-7861,10514,
1235,Journal of Applied Research in Memory and Cognition,2211-3681,14077,
1236,Journal of Approximation Theory,0021-9045,12053,
1237,Journal of Archaeological Science,0305-4403,12643,
1238,Journal of Archaeological Science: Reports,2352-409X,18080,
1239,Journal of Arid Environments,0140-1963,12627,
1240,The Journal of Arthroplasty,0883-5403,13133,
1241,Journal of Arthroscopy and Joint Surgery,2214-9635,17046,
1242,Journal of Asia-Pacific Biodiversity,2287-884X,17742,Formerly known as Journal of Korean Nature
1243,Journal of Asia-Pacific Entomology,1226-8615,08647,
1244,Journal of Asian Earth Sciences,1367-9120,00235,Formerly known as Journal of Southeast Asian Earth Sciences
1245,Journal of Asian Earth Sciences: X,2590-0560,18450,
1246,Journal of Asian Economics,1049-0078,07421,
1247,Journal of Atmospheric and Solar-Terrestrial Physics,1364-6826,00211,Formerly known as Journal of Atmospheric and Terrestrial Physics
1248,Journal of Autoimmunity,0896-8411,12665,
1249,Journal of Ayurveda and Integrative Medicine,0975-9476,18352,
1250,Journal of Banking & Finance,0378-4266,05385,
1251,Journal of Behavior Therapy and Experimental Psychiatry,0005-7916,00339,
1252,Journal of Behavioral and Experimental Economics,2214-8043,07430,Formerly known as The Journal of Socio-Economics
1253,Journal of Behavioral and Experimental Finance,2214-6350,17034,
1254,Journal of Biomechanics,0021-9290,00321,
1255,Journal of Biomedical Informatics,1532-0464,12017,Formerly known as Computers and Biomedical Research
1256,Journal of Biomedical Informatics: X,2590-177X,18944,
1257,Journal of Biosafety and Biosecurity,2588-9338,18424,
1258,Journal of Bioscience and Bioengineering,1389-1723,05113,Formerly known as Journal of Fermentation and Bioengineering
1259,Journal of Biotechnology,0168-1656,05111,
1260,Journal of Biotechnology: X,2590-1559,18476,
1261,Journal of Bodywork and Movement Therapies,1360-8592,12745,
1262,Journal of Bone Oncology,2212-1374,10500,
1263,Journal of Building Engineering,2352-7102,18106,
1264,Journal of Business Research,0148-2963,07687,
1265,Journal of Business Venturing,0883-9026,07688,
1266,Journal of Business Venturing Insights,2352-6734,18760,
1267,Journal of Cancer Policy,2213-5383,10156,
1268,Journal of Cardiac Failure,1071-9164,13271,
1269,Journal of Cardiology,0914-5087,04119,
1270,Journal of Cardiology Cases,1878-5409,05641,
1271,Journal of Cardiothoracic and Vascular Anesthesia,1053-0770,13051,Formerly known as Journal of Cardiothoracic Anesthesia
1272,Journal of Cardiovascular Computed Tomography,1934-5925,13427,
1273,Journal of Catalysis,0021-9517,12054,
1274,Journal of Cereal Science,0733-5210,12650,
1275,Journal of Chemical Neuroanatomy,0891-0618,05053,
1276,The Journal of Chemical Thermodynamics,0021-9614,12611,
1277,Journal of Chiropractic Humanities,1556-3499,13455,Formerly known as Philosophical Constructs for the Chiropractic Profession
1278,Journal of Chiropractic Medicine,1556-3707,14034,
1279,Journal de Chirurgie Viscérale,1878-786X,15560,Formerly known as Journal de Chirurgie
1280,Journal of Choice Modelling,1755-5345,18020,
1281,Journal of Chromatography A,0021-9673,05158,Incorporating Chromatographic Reviews
1282,Journal of Chromatography B,1570-0232,05159,Formerly known as Journal of Chromatography B: Biomedical Sciences and Applications
1283,Journal of Cleaner Production,0959-6526,03052,
1284,Journal of Clinical Anesthesia,0952-8180,07690,
1285,Journal of Clinical Densitometry,1094-6950,14031,
1286,Journal of Clinical Epidemiology,0895-4356,07518,Formerly known as Journal of Chronic Diseases
1287,Journal of Clinical and Experimental Hepatology,0973-6883,08758,
1288,Journal of Clinical Lipidology,1933-2874,13425,
1289,Journal of Clinical Neuroscience,0967-5868,12716,
1290,Journal of Clinical Orthopaedics and Trauma,0976-5662,08738,
1291,Journal of Clinical & Translational Endocrinology,2214-6237,13468,
1292,Journal of Clinical and Translational Endocrinology: Case Reports,2214-6245,18744,
1293,Journal of Clinical Tuberculosis and Other Mycobacterial Diseases,2405-5794,18180,
1294,Journal of Clinical Virology,1386-6532,05021,Formerly known as Clinical and Diagnostic Virology
1295,Journal of CO2 Utilization,2212-9820,12775,
1296,Journal of Colloid and Interface Science,0021-9797,12056,Formerly known as Journal of Colloid Science
1297,Journal of Coloproctology,2237-9363,15990,
1298,"Journal of Combinatorial Theory, Series A",0097-3165,12060,Formerly part of Journal of Combinatorial Theory
1299,"Journal of Combinatorial Theory, Series B",0095-8956,12061,Formerly part of Journal of Combinatorial Theory
1300,Journal of Commodity Markets,2405-8513,18196,
1301,Journal of Communication Disorders,0021-9924,07693,
1302,Journal of Comparative Economics,0147-5967,12055,
1303,Journal of Comparative Pathology,0021-9975,12612,Formerly known as Journal of Comparative Pathology and Therapeutics
1304,Journal of Complexity,0885-064X,12057,
1305,Journal of Computational and Applied Mathematics,0377-0427,05288,
1306,Journal of Computational Physics,0021-9991,12058,
1307,Journal of Computational Physics: X,2590-0552,18941,
1308,Journal of Computational Science,1877-7503,08700,
1309,Journal of Computer Languages,2590-1184,12682,Formerly known as Journal of Visual Languages & Computing
1310,Journal of Computer and System Sciences,0022-0000,12059,
1311,Journal of Constructional Steel Research,0143-974X,02032,
1312,Journal of Contaminant Hydrology,0169-7722,05342,
1313,Journal of Contemporary Accounting & Economics,1815-5669,05627,
1314,Journal of Contextual Behavioral Science,2212-1447,14113,
1315,Journal of Controlled Release,0168-3659,05054,
1316,Journal of Co-operative Organization and Management,2213-297X,10136,
1317,Journal of Corporate Finance,0929-1199,05387,
1318,Journal of Cranio-Maxillofacial Surgery,1010-5182,12735,Formerly known as Journal of Maxillofacial Surgery
1319,Journal of Criminal Justice,0047-2352,00366,
1320,Journal of Critical Care,0883-9441,13066,"Incorporating Seminars in Anesthesia, Perioperative Medicine and Pain"
1321,Journal of Crystal Growth,0022-0248,05200,
1322,Journal of Cultural Heritage,1296-2074,09069,
1323,Journal of Cystic Fibrosis,1569-1993,05437,
1324,Journal of Dairy Science,0022-0302,13453,
1325,Journal of Dental Sciences,1991-7902,08674,
1326,Journal of Dentistry,0300-5712,03053,
1327,Journal of Dentistry: X,2589-7004,18462,
1328,Journal of Dermatological Science,0923-1811,08032,
1329,Journal of Destination Marketing & Management,2212-571X,08806,
1330,Journal of Development Economics,0304-3878,05388,
1331,Journal of Diabetes and its Complications,1056-8727,07697,Formerly known as Journal of Diabetic Complications
1332,Journal of Differential Equations,0022-0396,12062,
1333,Journal d'imagerie diagnostique et interventionnelle,2543-3431,16454,Incorporating Journal de Radiologie Diagnostique et Interventionnelle
1334,Journal of Drug Delivery Science and Technology,1773-2247,18097,
1335,Journal of Econometrics,0304-4076,06013,
1336,The Journal of Economic Asymmetries,1703-4949,10157,
1337,Journal of Economic Behavior & Organization,0167-2681,05389,
1338,Journal of Economic Dynamics and Control,0165-1889,05390,
1339,Journal of Economic Psychology,0167-4870,05289,
1340,Journal of Economic Theory,0022-0531,12066,
1341,The Journal of the Economics of Ageing,2212-828X,08816,
1342,Journal of Economics and Business,0148-6195,07699,
1343,Journal of Electroanalytical Chemistry,1572-6657,06014,Formerly known as Journal of Electroanalytical Chemistry and Interfacial Electrochemistry
1344,Journal of Electrocardiology,0022-0736,13270,
1345,Journal of Electromyography and Kinesiology,1050-6411,03054,
1346,Journal of Electron Spectroscopy and Related Phenomena,0368-2048,05161,
1347,Journal of Electronic Science and Technology,1674-862X,30250,
1348,Journal of Electrostatics,0304-3886,05290,
1349,The Journal of Emergency Medicine,0736-4679,07535,
1350,Journal of Emergency Nursing,0099-1767,13165,
1351,Journal of Empirical Finance,0927-5398,05391,
1352,Journal of Endodontics,0099-2399,14027,
1353,Journal of Energy Chemistry,2095-4956,06064,Formerly known as Journal of Natural Gas Chemistry
1354,Journal of the Energy Institute,1743-9671,17053,
1355,Journal of Energy Storage,2352-152X,18072,
1356,Journal of Engineering and Technology Management,0923-4748,05392,Formerly known as Engineering Management International
1357,Journal of English for Academic Purposes,1475-1585,03015,
1358,Journal of Environmental Chemical Engineering,2213-3437,10140,
1359,Journal of Environmental Economics and Management,0095-0696,12064,
1360,Journal of Environmental Management,0301-4797,12642,Incorporating Advances in Environmental Research
1361,Journal of Environmental Psychology,0272-4944,12640,
1362,Journal of Environmental Radioactivity,0265-931X,02034,
1363,Journal of Environmental Sciences,1001-0742,08576,
1364,Journal of Equine Veterinary Science,0737-0806,13335,
1365,Journal of Ethnopharmacology,0378-8741,08033,
1366,Journal of EuCornea,2452-4034,18874,
1367,Journal of the European Ceramic Society,0955-2219,02036,Formerly known as International Journal of High Technology Ceramics
1368,Journal Européen des Urgences et de Réanimation,2211-4238,15567,Formerly known as Journal Européen des Urgences
1369,Journal of Evidence Based Dental Practice,1532-3382,13023,
1370,Journal of Exercise Science & Fitness,1728-869X,08698,
1371,Journal of Exotic Pet Medicine,1557-5063,13003,Formerly known as Seminars in Avian and Exotic Pet Medicine
1372,Journal of Experimental Child Psychology,0022-0965,12063,
1373,Journal of Experimental Marine Biology and Ecology,0022-0981,05112,
1374,Journal of Experimental Social Psychology,0022-1031,12065,
1375,Journal of Family Business Strategy,1877-8585,05629,
1376,The Journal of Finance and Data Science,2405-9188,18234,
1377,Journal of Financial Economics,0304-405X,06015,
1378,Journal of Financial Intermediation,1042-9573,12069,
1379,Journal of Financial Markets,1386-4181,05456,
1380,Journal of Financial Stability,1572-3089,05540,
1381,Journal of Fluency Disorders,0094-730X,07705,
1382,Journal of Fluids and Structures,0889-9746,12662,
1383,Journal of Fluorine Chemistry,0022-1139,06016,
1384,Journal of Food Composition and Analysis,0889-1575,12068,
1385,Journal of Food Engineering,0260-8774,02035,
1386,The Journal of Foot and Ankle Surgery,1067-2516,13341,
1387,Journal of Forensic and Legal Medicine,1752-928X,12734,Formerly known as Journal of Clinical Forensic Medicine
1388,Journal of the Formosan Medical Association,0929-6646,08591,
1389,Journal Français d'Ophtalmologie,0181-5512,15370,
1390,Journal of the Franklin Institute,0016-0032,00334,
1391,Journal of Fuel Chemistry and Technology,1872-5813,03088,
1392,Journal of Functional Analysis,0022-1236,12067,
1393,Journal of Functional Foods,1756-4646,05619,
1394,Journal of Genetics and Genomics,1673-8527,05600,Formerly known as Acta Genetica Sinica
1395,Journal of Geochemical Exploration,0375-6742,05343,
1396,Journal of Geodynamics,0264-3707,00874,
1397,Journal of Geometry and Physics,0393-0440,05201,
1398,Journal of Geriatric Oncology,1879-4068,12772,
1399,Journal of Ginseng Research,1226-8453,17060,
1400,Journal of Global Antimicrobial Resistance,2213-7165,10167,
1401,Journal of Great Lakes Research,0380-1330,08665,
1402,Journal of Gynecology Obstetrics and Human Reproduction,2468-7847,15562,Formerly known as Journal de Gynécologie Obstétrique et Biologie de la Reproduction
1403,The Journal of Hand Surgery,0363-5023,13136,Incorporating Journal of the American Society for Surgery of the Hand
1404,Journal of Hand Surgery Global Online,2589-5141,18925,
1405,Journal of Hand Therapy,0894-1130,14016,
1406,Journal of Hazardous Materials,0304-3894,05162,
1407,Journal of Health Economics,0167-6296,05393,
1408,Journal of Healthcare Quality Research,2603-6479,15733,Formerly Known as Revista de Calidad Asistencial
1409,The Journal of Heart and Lung Transplantation,1053-2498,07583,
1410,Journal of Hepatology,0168-8278,08145,
1411,Journal of Herbal Medicine,2210-8033,10072,
1412,Journal of High Energy Astrophysics,2214-4048,18042,
1413,The Journal of High Technology Management Research,1047-8310,07423,
1414,Journal of Historical Geography,0305-7488,12647,
1415,Journal of Hospital Infection,0195-6701,12637,
1416,"Journal of Hospitality, Leisure, Sport & Tourism Education",1473-8376,12989,
1417,Journal of Hospitality and Tourism Management,1447-6770,17004,
1418,Journal of Housing Economics,1051-1377,12070,
1419,Journal of Human Evolution,0047-2484,12624,
1420,Journal of Hydro-environment Research,1570-6443,06069,
1421,Journal of Hydrology,0022-1694,05344,
1422,Journal of Hydrology: Regional Studies,2214-5818,08834,
1423,Journal of Hydrology X,2589-9155,18446,
1424,Journal of Immunological Methods,0022-1759,05055,Incorporating Immunotechnology
1425,Journal of Immunology and Regenerative Medicine,2468-4988,18396,
1426,Journal of Industrial and Engineering Chemistry,1226-086X,08620,
1427,Journal of Industrial Information Integration,2452-414X,18297,
